search_name,spotify_name,popularity,genres,spotify_id,youtube_avg_views,youtube_video_count,youtube_updated
Jul,Jul,84.0,"['french rap', 'pop urbaine']",3IW7ScrzXmPvZhB27hmfgy,1576.0,76.0,2026-01-09
Nekfeu,Nekfeu,68.0,['french rap'],4LXBc13z5EWsc5N32bLxfH,1218.0,69.0,2026-01-09
Josman,Josman,71.0,['french rap'],6dbdXbyAWk2qx8Qttw0knR,2335.0,56.0,2026-01-09
Ninho,Ninho,81.0,"['french rap', 'pop urbaine']",6Te49r3A6f5BiIgBRxH7FH,2070.0,68.0,2026-01-09
Damso,Damso,77.0,"['french rap', 'pop urbaine', 'french r&b']",2UwqpfQtNuhBwviIC0f2ie,1119.0,62.0,2026-01-09
Rounhaa,Rounhaa,48.0,"['french rap', 'new wave']",6jFcJYXzABu7Us9iwENUJe,1775.0,62.0,2026-01-09
Jolagreen,Jolagreen23,60.0,['french rap'],2jZ78PLlC1PuYKQ2bVwRvz,2102.0,70.0,2026-01-09
SCH,SCH,74.0,"['french rap', 'pop urbaine']",2kXKa3aAFngGz2P4GjG5w2,2649.0,95.0,2026-01-09
Yvnnis,Yvnnis,55.0,"['french rap', 'new wave']",2Av0IgTSSDYLJNajJrQwyb,1479.0,78.0,2026-01-09
Zamdane,Zamdane,63.0,['french rap'],5CtPAGoxpJ4yLJLx6CSrO8,2034.0,69.0,2026-01-09
J9ueve,J9ueve,52.0,['french rap'],4fj5OWrMmlCbrc3PocAcl1,1568.0,78.0,2026-01-09
TIF,TIF,60.0,"['french rap', 'moroccan rap', 'moroccan pop']",2NgTPluNpfsoYZnoeU2VsH,2343.0,64.0,2026-01-09
Vacra,Vacra,65.0,"['french rap', 'french r&b', 'pop urbaine']",5OLkn5GT6EcMuJzjwgvQnu,3338.0,82.0,2026-01-09
PNL,PNL,76.0,"['french rap', 'pop urbaine']",3NH8t45zOTqzlZgBvZRjvB,1227.0,77.0,2026-01-09
Ino_Casablanca,Ino Casablanca,55.0,['french rap'],5blvB6N3OACeH0gJL9BRqf,4572.0,71.0,2026-01-09
La_fève,La Fève,59.0,"['french rap', 'new wave']",2sBKOwN0fSjx39VtL2WpjJ,1047.0,39.0,2026-01-09
PLK,PLK,74.0,"['french rap', 'pop urbaine']",3DCWeG2J1fZeu0Oe6i5Q6m,2948.0,68.0,2026-01-09
Timar,Timar,71.0,['french rap'],4BUeuxQIWI69tEYuvzbv6D,3186.0,80.0,2026-01-09
Hamza,Hamza,74.0,"['french rap', 'pop urbaine', 'french r&b']",5gs4Sm2WQUkcGeikMcVHbh,1651.0,66.0,2026-01-09
Huntrill,Huntrill,55.0,['french rap'],1Nm9adUt6D5iuhRgirlgF2,1115.0,78.0,2026-01-09
Jungle_Jack,Jungle Jack,53.0,['french rap'],36HOtWiV4nn0luNGSn2xAT,1414.0,75.0,2026-01-09
Alpha_Wann,Alpha Wann,58.0,['french rap'],7yeFMUrYTY5cAZx0GKXnti,2178.0,70.0,2026-01-09
Laylow,Laylow,63.0,"['french rap', 'moroccan rap']",0LnhY2fzptb0QEs5Q5gM7S,1481.0,53.0,2026-01-09
Luther,Luther,58.0,"['french rap', 'new wave']",712cOCN3mpraX2UOgUvdHW,1410.0,62.0,2026-01-09
Gims,GIMS,83.0,"['french rap', 'french r&b', 'french pop', 'pop urbaine']",0GOx72r5AAEKRGQFn3xqXK,1947.0,82.0,2026-01-09
Naps,NAPS,7.0,['pop urbaine'],0KEYxq41fvHXQz0DcOUK3M,2769.0,78.0,2026-01-09
Morad,Morad,23.0,['french rap'],2s1CEk8nyQk8gdpvVddRB0,1272.0,94.0,2026-01-09
Theodora,Theodora,77.0,"['shatta', 'french rap']",3PpJbrAbphauEun8Xf9tD2,1342.0,54.0,2026-01-09
Leto,Leto,71.0,"['french rap', 'pop urbaine']",6HCBnyTBSLdb3TFn2ayulY,2215.0,36.0,2026-01-09
63OG,63OG,54.0,['french rap'],1wRx48q25O8HPDTyNOUQ2k,1053.0,89.0,2026-01-09
Rnboi,RnBoi,73.0,"['french r&b', 'french rap']",4yPFe6ZiSjH5mgjDwiYZgc,2581.0,68.0,2026-01-09
R2,R2,70.0,['french rap'],2D8Vb8JwQhndC6H6heA1kD,2924.0,73.0,2026-01-09
Genezio,Genezio,69.0,"['french rap', 'french r&b', 'shatta']",0PcU18DNfkn3pmbjy5yMFz,2133.0,66.0,2026-01-09
